sessionID	turnID	utterance
37	1	i want to remove extra ham ****** ****** left half of the first one
38	1	remove double the amount of pepperoni from the third pizza
39	1	i'd like to place an order for take out
40	1	add provolone to the other half of the second pizza
41	1	i'll make the second one a uhh veggie ****** a 12 inch
42	1	please place an order for my most common also i'd like to get a uhm 14 inch pepperoni ****** thin crust, please
43	1	let's make the second one a 12 inch hawaiian on regular, please
44	1	the second pizza i'll do a vegan on regular. a small
45	1	hi, i'll i'll ****** my order to delivery, please
46	1	i need three ****** pizzas on thin crust
47	1	i'd like to get a vegetarian for the second pizza. ****** ******
48	1	can i remove green peppers from the left half of the first one
49	1	i need three pizzas on ****** crust. i'll go with 14 inch ****** all of them
50	1	hi, this is daniel here can you change my order to pick up
51	1	reorder ****** favorite pizza order also i'll have a uhm... small veggie supreme, please
52	1	for the third pizza i'd like a uh hawaiian on gluten free crust, please. a medium
53	1	could i place another order for my most common also give me a 14 inch ****** on gluten free ****** please
54	1	i ****** to remove extra ham ****** the second pizza
55	1	hi, ****** ****** change my ****** to delivery, please
56	1	could i place an order for my most frequent order also please add bacon to it
57	1	may i order a hawaiian on thin ****** ****** second one, please. and let's ****** small
58	1	can i remove italian sausage from the one half of the third pizza
59	1	could i get my most common also can i get no red onions on it
60	1	can ****** get a uhm... vegan for ****** second one
61	1	****** like to place another order for my preferred pizza order also also get no mozzarella on one half
62	1	may i place an order for my favorite also i want to remove onions from it
63	1	can i order a uhh vegan for the first one, please
64	1	hey, how's it going? this is is soumya can you ****** my order to take out
65	1	i'd like to remove extra pepperoni ****** ****** second half ****** the second pizza
66	1	reorder my preferred also please add pineapple to the right ******
67	1	can i reorder my favorite ****** ****** again also i'll have a large ******
68	1	hi, can you, please switch my order to take-out
69	1	hi, can i switch my order to take out, please
70	1	hey, how's it going? my phone number is 206-555-1230 i'd like to change my order to take-out
71	1	i want to order a uh... 10 inch pepperoni on gluten free for the second one, please
72	1	please order my usual pizza also i'd like to order a uh... medium hawaiian
73	1	may i order my favorite pizza order, please also remove sliced ham from the first half
74	1	could i place another order for my most frequent also please add double the amount of pepperoni to the ****** half
75	1	hello,
76	1	i want to order two pizzas, please
77	1	please place an order for my favorite order also please remove canadian bacon from it
78	1	hey, ****** it going? my name is is lissa can you change my order to take out
79	1	hello, i'll i'll switch my order to pick up
80	1	get my usual pizza again also may i get a meat lovers. make it medium, please
81	1	may i order a uhh... vegan for the third one. let's go with a small
82	1	hi, i'll switch my order to take out
83	1	hi,
84	1	i'll take uh... five 12 inch pizzas on thin crust, please
85	1	the second pizza i'll do a uh... hawaiian on thin. a large
86	1	****** i get a uhm all cheese on regular crust for the third one. let's go with a 12 inch
87	1	for the second one ****** ****** ****** uhm meat lovers on gluten free crust, please. let's go with a 10 inch
88	1	****** ****** to place an order for my favorite again also i want to order a uh pepperoni. make it medium, ******
89	1	i'd like to place an order for my favorite pizza again also give me a pepperoni on gluten free
90	1	order my ****** order again also i need to remove sausage from one half
91	1	i need uh... two pizzas. make them 14 inch, please
92	1	let's make the third one a uhh pepperoni. make it 10 inch, please
93	1	i want to ****** four pizzas, please. make them large
94	1	i ****** to add bacon to the other half of the first one
95	1	i'll make the third one a uhm... medium ****** on ****** crust
96	1	hello, may i place an order for take-out, please
97	1	i want to order two pizzas on thin. make them 14 inch
98	1	i'll make the first pizza a hawaiian. make it 12 ****** please
99	1	may i get uh two large pizzas, please
