Intent	Sentence
REQUEST_LISTING	Are all those <pizza_type>cheeses</pizza_type>, do they have <topping_type>dairy-free</topping_type> options?
MAKE_PIZZA	Oh it.s okay I.ll just get, um, can I get a custom pizza? With--
ADD_ATTRIBUTE	So can I get the <crust>thin</crust> crust and then just like a really thick layer of the <topping>tomato sauce</topping>?
ADD_ATTRIBUTE	And then, like, <quant>all</quant> the <topping_type>vegetables</topping_type> you have
UPDATE_ATTRIBUTE	Um, I hate mushrooms, can you just-can you just do the <topping>red and yellow pepper</topping>?
REQUEST_LISTING	Okay, um...d-do you have uh, like, <side>garlic bread</side>? Without <topping>milk</topping>
REQUEST	Can- Is it premade? Or can you get, can you, um, <quant>not</quant> put the <topping>butter</topping> on it?
DENY	You know what, it.s okay, nevermind. I.ll just--
ADD_MODALITY	I.ll just get the pizza, sorry. I want that for, uh, <modality>pickup</modality>.
ADD_PAYMENT_ATTRIBUTE	So, my card information is <numeric>000</numeric> and expiration date <numeric>07/11</numeric>, and then name is <name>Avery</name>
ADD_PAYMENT_ATTRIBUTE	And, um, oh the-the zip code is <numeric>11111</numeric>
UPDATE_PERSONAL	Sorry- the name is <name>Avery</name>
UPDATE_PERSONAL	<name>A v e r y</name>
UPDATE_PAYMENT_ATTRIBUTE	Um, sorry, the card information is <numeric>000</numeric> And--
UPDATE_PAYMENT_ATTRIBUTE	And then the, uh, the expiration date is <numeric>07/11</numeric>
CONFIRM	That.s right
UNDEFINED	Oh
ADD_ATTRIBUTE	I.ll take a <size>medium</size>
ADD_ATTRIBUTE	Yeah. Oh, sorry, can I also get the <topping>yellow pepper</topping>
CONFIRM	Yeah that.s fine
INFORM	Alright, I.ll be there in <time>20 minutes</time>
DEPART	Bye
MAKE_PIZZA	 Hi, I wanted to order a <size>small</size> <pizza_type>pepperoni</pizza_type> and a <size>large</size> <beverage>fountain drink</beverage>
ADD_ATTRIBUTE	 <crust>thick</crust> crust please 
ADD_MODALITY	 <modality>Pickup</modality>, but can I schedule it for <time>an hour from now</time>? 
REQUEST_LISTING	You can go ahead and fill it now, I don't want any ice. Do you have <beverage>Coke</beverage> or <beverage>Sprite</beverage>? 
ADD_TO_ORDER	 I'll take the <beverage>Sierra Mist</beverage>
ADD_PERSONAL	 My name is <name>Ann</name>
ADD_PAYMENT_ATTRIBUTE	CC number is <numeric>7899</numeric>, code is <numeric>322</numeric> and expiration date is <numeric>8832</numeric>
ADD_PERSONAL	Same name and zip code is <numeric>56789</numeric>
THANK	 Thanks! 
MAKE_PIZZA	Hey Jake! <size>14 inch</size> <pizza_type>Hawaiian</pizza_type> please!
DENY	 Just the 'za! 
REQUEST_COST_OF	 Aw man, did you raise your prices? 
CONFIRM	 Gotcha! Well, I will feel extra fancy tonight eating my premium pizza.
ADD_PAYMENT_ATTRIBUTE	It's <name>Jack Johnson</name>, <numeric>1564</numeric>, expires <numeric>01/21</numeric>, and the code on that is <numeric>678</numeric>! Zip code <numeric>07070</numeric>.
ADD_MODALITY	Can I get it delivered to <store>Earl’s on 75th?</store>
CONFIRM	 Excellent! 
DEPART	 You too pal! 
UNDEFINED	 ring ring 
MAKE_PIZZA	 I wanna get a <crust>regular</crust> <pizza_type>cheese</pizza_type> pizza, no drink or side please 
ADD_MODALITY	<size>Large</size>, delivered to <address>1566 Castle Drive</address>
ADD_PAYMENT_ATTRIBUTE	My card info is <numeric>5444 expr 16/15</numeric> name Cassidy
REQUEST	 How long is it going to take?
ADD_PAYMENT_ATTRIBUTE	Oh the code is <numeric>111</numeric><
THANK	 Thanks! 
DEPART	 you too 
UNDEFINED	 ring ring 
REQUEST_LISTING	 Hi! I'd like a <size>large</size> <topping_type>meaty</topping_type> pizza. What do you have that's just covered in <topping_type>meat</topping_type>? 
UNDEFINED	 Oh fantastic!
MAKE_PIZZA	 That sounds amazing. Can I get that as an <size>extra large</size>? 
REQUEST_LISTING	 Do you have <side>breadsticks</side>? 
ADD_TO_ORDER	 <topping>Garlic butter</topping>! 
DENY	 Nope 
ADD_MODALITY	 Beautiful. Pickup please! 
ADD_PAYMENT_ATTRIBUTE	Perfect. It's <name>James Dean</name>, number on there is <numeric>2525</numeric>, expiration <numeric>09/55</numeric>. The code's <numeric>555</numeric> and the zip code is <numeric>20831</numeric>!
DEPART	 You too, bye! 
UNDEFINED	 ring ring 
MAKE_PIZZA	 Hi, I want to order a <size>medium</size> <pizza_type>cheese</pizza_type> pizza and some <side>bread sticks</side> for delivery
CONFIRM	 Sounds great! I'll have that 
ADD_TO_ORDER	 Ooh the <side>marbled cookie brownie</side> sounds tasty, add that on 
CONFIRM	 Yes 
ADD_TO_ORDER	Add a <size>16oz</size> <beverage>coke</beverage> please
ADD_PERSONAL	"<address>555 Candle Avenue NW</address>, gate code <numeric>660</numeric> <address>building 4</address>, I'll meet the driver outside"
ADD_PAYMENT_ATTRIBUTE	"My name is <name>Stephanie Blair</name>, card number is <numeric>777</numeric>, expiration date is <numeric>11/23</numeric>, code is <numeric>999</numeric>"
REQUEST	 Do you take <payment_type>mastercard</payment_type>? 
THANK	 Thanks! 
REQUEST	Hi! Can you <modality>deliver</modality> to <address>5803 Green Parkway NE</address>?
ADD_MODALITY	Okay! Let's do the <store>50th street</store> one?
MAKE_PIZZA	" A <size>large</size> <pizza_type>supreme</pizza_type> pizza, a <size>large</size> <pizza_type>veggie</pizza_type>, and that's all! "
ADD_PERSONAL	"Yes. It's <name>Jane Grant</name>, number is <numeric>4567</numeric>, expiration <numeric>04/56</numeric>, code <numeric>456</numeric>, and the zip code on that is <numeric>04567</numeric>"
DEPART	" Great! You too, bye."
GREET	 ring ring 
MAKE_PIZZA	" I'd like a <size>small</size> <quant>half</quant> <topping>cheese</topping> <quant>half</quant> <toppping>green pepper</toppping> pizza please, nothing else "
ADD_MODALITY	"<modality>pickup</modality>! my card information is <numeric>3334, 11/12, 555</numeric>, and my name is <name>Jimmy Doe</name>"
DEPART	 Thanks! Bye 
MAKE_PIZZA	 Hi <name>Anna</name>! Can I get a <size>large</size> <pizza_type>Hawaiian</pizza_type>? And some <side>breadsticks</side>? 
ADD_TO_ORDER	 Yes please! A <beverage>coke</beverage>? 
CONFIRM	" Absolutely, yes please! "
ADD_MODALITY	 For <modality>delivery</modality>! 
ADD_PERSONAL	"Okay, yes! <address>200 8th Street SW</address>, the name's <name>John Gates</name>."
ADD_PAYMENT_ATTRIBUTE	"The card number is <numeric>8923</numeric>, expiration <numeric>10/24</numeric>"
THANK	 Thanks!
GREET	 ring ring 
ADD_TO_ORDER	"Hi, is it possible to just get <quant>3</quant> orders of your <side>breadsticks</side> and a <beverage>drink</beverage>?"
ADD_TO_ORDER	" awesome, can I have that and some of the <side>garlic sauce dip</side>? "
ADD_MODALITY	" Thanks, and that'll be for <modality>pickup</modality>"
ADD_PERSONAL	 under <name>John greene</name>
ADD_TO_ORDER	" Thanks, can I make that drink a <beverage>sprite</beverage>? "
ADD_ATTRIBUTE	 <size>Large</size> 
ADD_PAYMENT_ATTRIBUTE	"Cool. My card is <numeric>5555</numeric>, expiration date <numeric>33/44</numeric>, security code <numeric>890</numeric>"
THANK	 Thanks! 
START_ORDERING	 Hi Dominos! Can I get a pizza? 
ADD_ATTRIBUTE	 <size>Large</size>! And <quant>extra</quant> <topping>cheese</topping> 
ADD_ATTRIBUTE	" Oh, <toppping>sausage</toppping> please! "
ADD_ATTRIBUTE	"Yes! <toppping>Spinach</toppping> please! <toppping>Cheese</toppping>, <toppping>sausage</toppping>, <toppping>spinach</toppping>. "
DENY	 No thanks!
ADD_TO_ORDER	 Actually yeah a <size>small</size> <beverage>sprite</beverage> 
CONFIRM	 Yep 
ADD_MODALITY	<modality>Delivery</modality> please! <address>433 15th Avenue</address>
CONFIRM	 Yeah!
ADD_PERSONAL	"<name>Jane Lawrence</name>, the card is <numeric>8009</numeric>"
ADD_PAYMENT_ATTRIBUTE	<numeric>789</numeric> and <numeric>07/89</numeric>
THANK	 Amazing thank you! 
DEPART	 Bye!
	
MAKE_PIZZA	 Hi! I'd like a <size>large</size> <pizza_type>pepperoni</pizza_type> pizza and a <size>small</size> <pizza_type>cheese</pizza_type>
ADD_MODALITY	 For <modality>pickup</modality>. Name is <name>David Green</name>
CONFIRM	"Yes, that's all. My card is <numeric>2363</numeric>, code <numeric>425</numeric>"
ADD_PAYMENT_ATTRIBUTE	Expiration <numeric>10/10</numeric>
DEPART	" Thank you, goodbye!"
GREET	 ring ring 
ADD_MODALITY	Hi! Could I order for <modality>delivery</modality> to <addreess>567 12 Street North</addreess>?
MAKE_PIZZA	" <quant>Two</quant> <size>large</size> pizzas, can I get one with <topping>spinach</topping> and <topping>tomatoes</topping> and one with <topping>sausage</topping>? "
ADD_TO_ORDER	" A <size>large</size> <beverage>Coke</beverage>, please! "
UNDEFINED	 Great! 
ADD_PERSONAL	"Sure, it's <name>Jonah Johnson</name>, <numeric>2222</numeric>"
ADD_PAYMENT_ATTRIBUTE	Expiration date is <numeric>05/54</numeric> and the code is <numeric>123</numeric>
THANK	" Thank you, you too!"
GREET	 ring ring 
ADD_MODALITY	 Hi <name>Julie</name>! I'd like to place an order for <modality>pickup</modality>? 
MAKE_PIZZA	" Could I get a <size>medium</size> pizza with <quant>no</quant> <topping_type>cheese</topping_type>, only <topping>sauce</topping> and <topping>spinach</topping>? "
ADD_PERSONAL	" Yes, it's <name>Jennifer Florence</name> "
REQUEST_LISTING	 What sides do you have? 
ADD_TO_ORDER	 I'd love some <side>bread sticks</side> please! 
ADD_PAYMENT_ATTRIBUTE	"Yes, it's <numeric>5667</numeric>, code <numeric>142</numeric>, expires <numeric>12/12</numeric>"
THANK	 Thank you! 
UNDEFINED	 You too!
GREET	 ring ring 
MAKE_PIZZA	" Hi, I'd like a <size>large</size> <pizza_type>meat lovers</pizza_type>, <size>large</size> <pizza_type>cheese</pizza_type>, <size>large</size> <pizza_type>Hawaiian</pizza_type>, and <size>large</size> <pizza_type>veggie</pizza_type> please! "
ADD_TO_ORDER	 A two liter <beverage>coke</beverage> and <beverage>sprite</beverage>? 
ADD_MODALITY	"For <modality>delivery</modality>, to <adddress>132 4th Ave suite 67</adddress>"
ADD_PAYMENT_ATTRIBUTE	"The card is <numeric>2014</numeric>, the code is <numeric>142</numeric>, and the expiration is <numeric>12/47</numeric>!"
ADD_PERSONAL	 And the full name is <name>Lena Horne</name> 
THANK	 Thank you!
MAKE_PIZZA	" Hi, I need to order a couple of <size>medium</size> <pizza_type>pepperoni</pizza_type> pizzas "
ADD_MODALITY	"<modality>pickup</modality>! I want <quant>3</quant> pizzas actually, <quant>no</quant> drinks or anything else"
CONFIRM	 yes please 
REQUEST	 Sorry say that again? 
UNDEFINED	" I'm sorry there's like static over your voice, let me try moving to another room"
REQUEST	" ok, say that again "
UNDEFINED	" I'm sorry, I'm gonna try calling you back, it still sounds like static"
UNDEFINED	 I'll call right back 
GREET	 ring ring
UNDEFINED	" Hi, I just called about <quant>three</quant> <size>medium</size> pizzas? "
CONFIRM	 Yes! That's my order 
ADD_PAYMENT_ATTRIBUTE	"Yup, the number is <numeric>5667</numeric>, and the security code is <numeric>124</numeric>"
ADD_PAYMENT_ATTRIBUTE	expiration is <numeric>11/34</numeric>
ADD_PERSONAL	" Yes, <name>Angela</name>"
DEPART	 Thanks! Have a good one 
UNDEFINED	 ring ring 
ADD_MODALITY	 Hi! I'd like to order some pizza for <modality>delivery</modality>? 
MAKE_PIZZA	" A <size>small</size> <pizza_type>Hawaiian</pizza_type> pizza and a <size>large</size> <pizza_type>supreme</pizza_type>, please. "
UNDEFINED	 Great! 
UNDEFINED	 Sure 
UNDEFINED	 Oh no! 
UNDEFINED	"Sure, okay "
MAKE_PIZZA	 Yes! A <size>small</size> <pizza_type>Hawaiian</pizza_type> pizza and a <size>large</size> <pizza_type>supreme</pizza_type>? 
CONFIRM	" Yes, that's all. "
ADD_PAYMENT_ATTRIBUTE	"Sure, it's <numeric>7890</numeric>, security code <numeric>123</numeric>, expiration <numeric>12/34</numeric>. And the name on it is <name>Janet Gold</name>"
ADD_MODALITY	"<modality>Delivery</modality> please! <address>845 12th Street, apartment C</address>."
REQUEST	 That's fine. How long will it take? 
THANK	" Okay, thanks! "
THANK	" Thanks, you too! "
GREET	 ring ring
MAKE_PIZZA	 Hi! I want a <size>small</size> <pizza_type>two topping</pizza_type> pizza -- <topping>pepperoni</topping> and <topping>sausage</topping> -- and a <size>medium</size> dr pepper if you have it 
ADD_MODALITY	<modality>Delivery</modality> to <address>31 5th St NE</address> please
ADD_PAYMENT_ATTRIBUTE	"Yeah, it's <numeric>7777</numeric> with expiration date <numeric>44/34</numeric> and code <numeric>999</numeric>, billing is <numeric>56789</numeric>"
ADD_PERSONAL	 My name is <name>Yara Grey</name>
CONFIRM	" yeah, that's correct "
UPDATE_PAYMENT_ATTRIBUTE	"oh, sorry it's <numeric>44/33</numeric>"
REQUEST	" awesome, how long until it's ready? "
THANK	" great, thanks so much "
DEPART	 you too! bye
GREET	 ring ring 
UNDEFINED	" Hi, this is <name>Angela</name>, I called just now about some <pizza_type>pepperoni</pizza_type> pizzas for <modality>pickup</modality>? "
MODIFY_ORDER_MODALITY	 Would it be possible to change that to <modality>delivery</modality>? I don't think I'll be able to get over there to <modality>pick up</modality>. 
ADD_PAYMENT_ATTRIBUTE	"Yes, it's <numeric>5667</numeric>?"
CONFIRM	" Yes, that's correct! "
ADD_PERSONAL	"<adddress>31 5th Street Northeast</adddress>, please!"
REQUEST	 Okay! Thank you! How long will it take to get here? 
THANK	 Okay! Thanks so much!
UNDEFINED	 You too!
REQUEST	"Hi um I'm throwing a graduation party for my brother, um, it's actually at the end of the week, but I'm shopping around for prices now. Um, how much do you, how many pizzas Do you think I would need for <quant>50</quant> people?"
REQUEST	"Okay. Um, and what size would those need to be?"
REQUEST_COST_OF	"Okay. Um, what is the price of your <size>large</size> pizzas and is this the store. I saw coupons online for?"
REQUEST	Do you have any coupons or?
REQUEST	"Hmm, okay. So, um, and also just, I just don't even know like, what kinds of pizzas I should order for that many people. Um like, what do you think are like the favorites here?"
REQUEST	Just <pizza_type>cheese</pizza_type> or <pizza_type>pepperoni</pizza_type>?
REQUEST	"Okay. Um, and so would plain be like a pizza with <quant>no</quant> toppings, or would it be the <pizza_type>four cheese</pizza_type> in the specialty pizzas, cuz both of those, are those both just <topping_type>cheese</topping_type> or is <pizza_type>four cheese</pizza_type>, um"
UNDEFINED	"Okay. <quant>Extra</quant> <topping>cheese</topping> on that one. Um, and also we have somebody who's allergic to dairy. It's just <quant>one</quant> person, but I wanna"
REQUEST	"Dairy, so they can't have any pizza with <topping_type>cheese</topping_type>. I was wondering if you have any just, like, <pizza_type>red</pizza_type> pizza without <topping_typee>cheese</topping_typee> for them?"
REQUEST	"Okay. So, so then that one doesn't have any <topping_type>cheese</topping_type> right?"
MAKE_PIZZA	"Okay, so I'm gonna have to get at least <quant>one</quant> of those"
REQUEST	"Yes. So how many, how many did you say I would need again <quant>six</quant> or <quant>seven</quant>?"
MAKE_PIZZA	"Okay, this is okay so you have <quant>six</quant> specialty pizzas, but that was not the most popular. The most popular are just plain. So I think I'm going to get <quant>one</quant> <pizza_type>vegan</pizza_type>, <quant>two</quant> <pizza_type>pepperoni</pizza_type>, um...hmm, I don't know. Should I get a <pizza_type>plain</pizza_type> pizza with <topping>pineapple</topping>, or should I get the <pizza_type>Hawaiian</pizza_type> pizza? It's, it's just so hard to know what what's gonna work for <quant>50</quant> people"
MAKE_PIZZA	"Um no, I'll go with the <pizza_type>Hawaiian</pizza_type> people know what that is. So, you know, hopefully there will be some people who like that."
REQUEST	"Yeah. Yeah, true. Um, but how many am I at right now like four? Yeah, I think I’m at four right?"
REQUEST	"Okay, I think, I think I had <quant>two</quant> <pizza_type>pepperoni</pizza_type> as well. So I'm gonna need more. What's your favorite pizza here?"
REQUEST_LISTING	"Okay, so yeah, to have a <pizza_type>vegan</pizza_type> pizza <pizza_type>meat lovers</pizza_type> pizza would probably be a good idea too, um, what are the <topping_type>meats</topping_type> on that pizza?"
MAKE_PIZZA	"Okay, okay that's- that should work. Um, there's something for everybody there, right?"
UNDEFINED	"Okay. Um, and then...hmm. I have, hmm...two left to get to seven so I think I'll get some more pizzas that aren’t specialty that are just toppings."
UNDEFINED	"So I see some of your toppings cost more than others. Some are <cost>two dollars</cost> and some are <cost>a dollar fifty</cost>. Do you think it's worth it to get kind of like the premium toppings? Or I guess the, I guess the <cost>dollar fifty</cost> toppings are just <topping_type>cheese</topping_type>. So I guess I will have to spend that extra <cost>fifty cents</cost> for toppings won’t I?."
UNDEFINED	"Yeah um, they’re not necessarily better. Oh wow, the-the <topping_type>meat</topping_type> the <topping_type>meat</topping_type> toppings are even more expensive and wow okay so this is going to get expensive with <quant>seven</quant> pizzas, um, hmm."
UNDEFINED	"Cuz I've just been like calling different restaurants comparing prices yours look like you have the best pizzas, so I think I'm going to place an order with you, but I wanna kind of minimize the price. So I’m gonna go for just the toppings that are <cost>two dollars</cost> um"
MAKE_PIZZA	"So those are <topping>pineapple</topping>, <topping>green peppers</topping>, <topping>red onions</topping>, <topping>mushrooms</topping> and <topping>black olives</topping>. Right? So I want them ( Mmm) <quant>two</quant> pizzas that just have <quant>all</quant> of those things on it."
CONFIRM	Mm hmm.
CONFIRM	Mhm.
REQUEST	"I'm gonna need <quant>some</quant> sides. Also the pizza crust. Should-What, what, what do you think is the best? <crust>Thin</crust>, <crust>regular</crust>, <crust>deep-dish</crust> or just like <quant>all</quant> combinations of <quant>all</quant> of them?"
UNDEFINED	"Okay. Yeah that’s a probably good idea, the- <quant>all</quant> the combinations. Those would get so confusing, and <crust>regular</crust> is-is much cheaper than <crust>deep dish</crust> so ( oh yeah)"
ADD_ATTRIBUTE	"Yeah, I'm going to go for <crust>regular</crust>"
ADD_ATTRIBUTE	And and the sides has to be <size>large</size>. ( okay)
ADD_TO_ORDER	"Okay, the sides, I will get <quant>two</quant> orders of each of the sides."
UNDEFINED	Um
ADD_TO_ORDER	I think I’ll also get <quant>three</quant> <beverage>colas</beverage> and <quant>two</quant> <beverage>orange sodas</beverage>.
ADD_MODALITY	"I, I think I should <modality>pick up</modality> because is it- is this okay this is actually for-for <time>Friday</time>, which is like <quant>five</quant> or <quant>six</quant> days from now. Um, but I just wanted to call ahead and make sure this was all, you know I could that I could afford it for this party and that it um, that I would like the pizzas."
INFORM	"[overlapping]Okay, I can- I can pick it up on <time>Friday</time>."
INFORM	"Um, I think bout <time>3pm</time>."
INFORM	"<numeric>Twenty-five</numeric> percent, um, unless you pay ahead of time."
INFORM	Like I can pay right now.
ADD_PAYMENT_ATTRIBUTE	Okay. So the card is mycard numbers <numeric>one-two-three-four-five</numeric> and the expiration is the end of the year.
UPDATE_MODALITY	Perfect. So I can come <modality>pick this up</modality> <time>3 pm Friday</time>.
THANK	"Okay, Thank you."
REQUEST	"Hi, does Tony's sell slices or just whole pizzas?"
UNDEFINED	Oh ok that might be a problem
UNDEFINED	I have <quant>seven</quant> people who all want different pizzas
REQUEST	Do you do any <pizza_type>half and half</pizza_type> pizzas?
UNDEFINED	"Okay, this might be a long order"
MAKE_PIZZA	"the first person wants a pizza with <topping>bacon</topping>, <topping>sausage</topping>, and <topping>green peppers</topping>"
ADD_ATTRIBUTE	<crust>thin</crust> crust I think
ADD_ATTRIBUTE	and we'll make it <size>small</size>
MAKE_PIZZA	Second person wants a <pizza_type>veggie supreme</pizza_type> <crust>thin</crust> crust
ADD_ATTRIBUTE	also <size>small</size>
MAKE_PIZZA	Person three just wants a pizza with <topping>cheddar</topping> cheese on <crust>regular</crust> crust
ADD_ATTRIBUTE	these are <quant>all</quant> gonna be <size>small</size>
REQUEST	"Person four doesn't like <topping_type>cheese</topping_type>, <topping_type>vegetables</topping_type>, or <topping_type>meat</topping_type>, what do you recommend for them?"
MAKE_PIZZA	"Okay, how about a <pizza_type>vegan</pizza_type> <quant>no</quant> <topping_type>veggies</topping_type> but with <topping>pineapple</topping>, can we do that?"
MAKE_PIZZA	"Awesome, the fifth person and the sixth person both want <pizza_type>4 cheese</pizza_type> but person 5 wants it with <quant>no</quant> <toppping>mozzarella</toppping> and person 6 doesn't want <quant>swiss</quant>"
MAKE_PIZZA	The last person wants <pizza_type>veggie supreme</pizza_type> but with <topping>ham</topping>
ADD_TO_ORDER	"Also we'll get <quant>3</quant> <side>bread sticks</side>, <quant>3</quant> <side>cheese sticks</side>, and <quant>3</quant> <beverage>colas</beverage>"
END_ORDERING	that should be it
CONFIRM	Yes
UNDEFINED	hold on I have to ask them
ADD_ATTRIBUTE	"ok I'm back they are want <crust>regular</crust>, and we need to add <quant>one</quant> <side>green salad</side>"
UNDEFINED	don't worry about the total
UNDEFINED	we don't need to know
ADD_MODALITY	<modality>delivery</modality>
ADD_PERSONAL	to <address>123 elm st</address>
THANK	awesome thanks!
MAKE_PIZZA	"Can I get a side <side>green salad</side> with <quant>no</quant> <topping>tomatoes</topping>, <quant>4</quant> <size>medium</size> <pizza_type>cheese</pizza_type> pizzas with <crust>regular</crust> crust, and <quant>3</quant> <beverage>ginger ale</beverage>"
ADD_MODALITY	<modality>Delivery</modality> pls
ADD_PERSONAL	Address: <address>123 MyAddress</address>
ADD_PAYMENT_ATTRIBUTE	Card: <numeric>12345</numeric> Type: MyCard
